Feature Subset,Model,Under Sample,Hyperparameters,accuracy,sensitivity,specificity,auc
A,Logistic,Yes,C=0.1,0.714828897338403,0.10798593671521849,0.9734570103460578,0.6816377886480361
B,Logistic,Yes,C=0.1,0.714828897338403,0.10798593671521849,0.9734570103460578,0.6816377886480361
C,Logistic,Yes,C=0.1,0.714828897338403,0.10798593671521849,0.9734570103460578,0.6816377886480361
A,XGBoost,No,"trees=300, depth=4",0.7084250550330198,0.15000837100284614,0.946414555833036,0.6470832565070586
B,XGBoost,No,"trees=300, depth=4",0.7084250550330198,0.15000837100284614,0.946414555833036,0.6470832565070586
C,XGBoost,No,"trees=300, depth=4",0.7084250550330198,0.15000837100284614,0.946414555833036,0.6470832565070586
A,Neural Net,No,1 hidden layer (32),0.686411847108265,0.3545956805625314,0.827827327863004,0.6465034443555878
